set_num,name,year,num_parts,theme
66495-1,Star Wars Super Pack 3 in 1,2014,0,Star Wars
66512-1,"Star Wars Super Pack 2 in 1 (75048, 75053)",2014,0,Star Wars
66514-1,"Star Wars Microfighters Super Pack 3 in 1 (75028, 75029, 75030)",2014,0,Star Wars
66515-1,Microfighters Super Pack 3-in-1,2014,0,Star Wars
75056-1,Star Wars Advent Calendar 2014,2014,275,Star Wars
5002123-1,Darth Revan,2014,7,Star Wars
5002122-1,TC-4,2014,3,Star Wars
66479-1,"Super Pack 3 in 1 (75015, 75035, 75043)",2014,0,Star Wars
FANEXPO001-1,The Ghost Starship,2014,134,Star Wars
75024-1,HH-87 Starhopper,2014,362,Star Wars
75048-1,The Phantom,2014,234,Star Wars
75050-1,B-Wing,2014,448,Star Wars
75051-1,Jedi Scout Fighter,2014,490,Star Wars
75052-1,Mos Eisley Cantina,2014,616,Star Wars
75053-1,The Ghost,2014,929,Star Wars
TRUXWING-1,X-Wing,2014,23,Star Wars
TRUTIE-1,TIE Fighter,2014,12,Star Wars
75054-1,AT-AT,2014,1137,Star Wars
TRUGHOST-1,Micro Ghost,2014,42,Star Wars
75055-1,Imperial Star Destroyer,2014,1358,Star Wars
75058-1,MTT,2014,953,Star Wars
comcon039-1,The Ghost Starship,2014,132,Star Wars
30244-1,Anakin's Jedi Intercepter,2014,45,Star Wars
30246-1,Imperial Shuttle,2014,57,Star Wars
30247-1,ARC-170 Starfighter,2014,54,Star Wars
75046-1,Coruscant Police Gunship,2014,481,Star Wars
75045-1,Republic AV-7 Anti-Vehicle Cannon,2014,434,Star Wars
75049-1,Snowspeeder,2014,279,Star Wars
75043-1,AT-AP,2014,717,Star Wars
75028-1,Clone Turbo Tank,2014,96,Star Wars
75029-1,AAT,2014,95,Star Wars
75030-1,Millennium Falcon,2014,94,Star Wars
75031-1,TIE Interceptor,2014,92,Star Wars
75032-1,X-Wing Fighter,2014,97,Star Wars
75033-1,Star Destroyer,2014,97,Star Wars
75034-1,Death Star Troopers,2014,100,Star Wars
75044-1,Droid Tri-Fighter,2014,263,Star Wars
75036-1,Utapau Troopers,2014,83,Star Wars
75035-1,Kashyyyk Troopers,2014,99,Star Wars
75038-1,Jedi Interceptor,2014,222,Star Wars
75039-1,V-Wing Starfighter,2014,200,Star Wars
75040-1,General Grievous' Wheel Bike,2014,261,Star Wars
75041-1,Vulture Droid,2014,204,Star Wars
75042-1,Droid Gunship,2014,439,Star Wars
75037-1,Battle on Saleucami,2014,178,Star Wars
