set_num,name,year,num_parts,theme
7184-1,Trade Federation MTT,2000,466,Star Wars
7180-1,B-wing at Rebel Control Center,2000,346,Star Wars
3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,25,Star Wars
3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,25,Star Wars
7159-1,Star Wars Podracing Bucket,2000,293,Star Wars
7155-1,Trade Federation AAT,2000,158,Star Wars
3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,33,Star Wars
7190-1,Millennium Falcon,2000,671,Star Wars
7144-1,Slave I,2000,166,Star Wars
7134-1,A-wing Fighter,2000,125,Star Wars
3340-1,Star Wars #1 - Sith Minifig Pack,2000,30,Star Wars
9754-1,Dark Side Developers Kit,2000,578,Star Wars
4151270-1,Star Wars Co-Pack of 7121 and 7111,2000,0,Star Wars
VP-3,Star Wars Co-Pack of 7131 and 7151,2000,0,Star Wars
8000-1,Pit Droid,2000,223,Star Wars
7115-1,Gungan Patrol,2000,79,Star Wars
VP-8,Star Wars Co-Pack of 7130 and 7150,2000,0,Star Wars
VP-4,Star Wars Co-Pack of 7101 7111 and 7171,2000,0,Star Wars
8001-1,Battle Droid,2000,336,Star Wars
VP-12,Star Wars Co-Pack of 7121 and 7151,2000,0,Star Wars
VP-11,Star Wars Co-Pack of 7101 7111 and 7131,2000,0,Star Wars
8002-1,Destroyer Droid,2000,567,Star Wars
7104-1,Desert Skiff,2000,55,Star Wars
swminifigs-1,Star Wars Minifig Packs 4-Pack,2000,0,Star Wars
7124-1,Flash Speeder,2000,107,Star Wars
