set_num,name,year,num_parts,theme
30496-1,U-Wing Fighter,2017,55,Star Wars
30497-1,First Order Heavy Assault Walker,2017,54,Star Wars
911618-1,Flash Speeder,2017,43,Star Wars
75167-1,Bounty Hunter Speeder Bike Battle Pack,2017,125,Star Wars
911719-1,Kanan Jarrus,2017,6,Star Wars
75174-1,Desert Skiff Escape,2017,284,Star Wars
75175-1,A-Wing Starfighter,2017,358,Star Wars
75176-1,Resistance Transport Pod,2017,294,Star Wars
75177-1,First Order Heavy Scout Walker,2017,554,Star Wars
75178-1,Jakku Quadjumper,2017,457,Star Wars
75179-1,Kylo Ren's TIE Fighter,2017,630,Star Wars
75173-1,Luke's Landspeeder,2017,149,Star Wars
75180-1,Rathtar Escape,2017,836,Star Wars
75183-1,Darth Vader Transformation,2017,290,Star Wars
75186-1,The Arrowhead,2017,774,Star Wars
75187-1,BB-8,2017,1106,Star Wars
75188-1,Resistance Bomber,2017,780,Star Wars
75189-1,First Order Heavy Assault Walker,2017,1376,Star Wars
75190-1,First Order Star Destroyer,2017,1416,Star Wars
75182-1,Republic Fighter Tank,2017,305,Star Wars
75191-1,Jedi Starfighter with Hyperdrive,2017,832,Star Wars
75172-1,Y-Wing Starfighter,2017,691,Star Wars
75170-1,The Phantom,2017,269,Star Wars
66556-1,Star Wars Super Pack 2 in 1,2017,0,Star Wars
66555-1,Rogue One Trooper Super Pack,2017,0,Star Wars
75184-1,Star Wars Advent Calendar 2017,2017,309,Star Wars
6211760-1,Detention Block Rescue,2017,220,Star Wars
55555-1,Star Wars Mini Millennium Falcon,2017,20,Star Wars
75160-1,U-Wing Microfighter,2017,108,Star Wars
75171-1,Battle on Scarif,2017,419,Star Wars
75161-1,TIE Striker Microfighter,2017,87,Star Wars
75163-1,Krennic's Imperial Shuttle Microfighter,2017,77,Star Wars
75164-1,Rebel Trooper Battle Pack,2017,120,Star Wars
75165-1,Imperial Trooper Battle Pack,2017,111,Star Wars
75166-1,First Order Transport Speeder Battle Pack,2017,117,Star Wars
75168-1,Yoda's Jedi Starfighter,2017,262,Star Wars
75169-1,Duel on Naboo,2017,208,Star Wars
75162-1,Y-Wing Microfighter,2017,90,Star Wars
30611-1,R2-D2,2017,70,Star Wars
TRUBB8-1,BB-8,2017,39,Star Wars
75531-1,Stormtrooper Commander,2017,100,Star Wars
911720-1,The Ghost,2017,50,Star Wars
40176-1,Scarif Stormtrooper,2017,25,Star Wars
40268-1,R3-M2,2017,22,Star Wars
911722-1,TIE Advanced,2017,26,Star Wars
911723-1,Vulture Droid,2017,35,Star Wars
911724-1,A-Wing,2017,47,Star Wars
911725-1,Sandcrawler,2017,50,Star Wars
911726-1,Imperial Snowtrooper,2017,7,Star Wars
911727-1,Rey's Speeder,2017,35,Star Wars
911728-1,First Order Snowspeeder,2017,44,Star Wars
911729-1,Droid Gunship,2017,25,Star Wars
911730-1,Y-Wing,2017,60,Star Wars
75532-1,Scout Trooper & Speeder Bike,2017,452,Star Wars
75530-1,Chewbacca,2017,179,Star Wars
75529-1,Elite Praetorian Guard,2017,92,Star Wars
75185-1,Tracker I,2017,557,Star Wars
75526-1,Elite TIE Fighter Pilot,2017,94,Star Wars
75525-1,Baze Malbus,2017,148,Star Wars
75524-1,Chirrut Îmwe,2017,87,Star Wars
75523-1,Scarif Stormtrooper,2017,89,Star Wars
75528-1,Rey,2017,83,Star Wars
