set_num,name,year,num_parts,theme
K4488-1,Star Wars Miniatures Kit II,2003,0,Star Wars
VP-10,Star Wars Value Pack with Free LEGO Backpack (K-Mart Australia Exclusive),2003,1,Star Wars
K4487-1,Star Wars Miniatures Kit I,2003,0,Star Wars
4504-2,"Millennium Falcon (Redesign), Original Trilogy Edition box",2003,996,Star Wars
4504-1,"Millennium Falcon (Redesign), Blue box",2003,997,Star Wars
K4482-1,Episode II Final Scene Kit,2003,0,Star Wars
4502-1,X-wing Fighter,2003,564,Star Wars
K4480-1,Jabba's Palace Kit,2003,0,Star Wars
4501-1,"Mos Eisley Cantina, Blue box",2003,197,Star Wars
K4479-1,TIE Bomber & TIE Fighter Kit,2003,0,Star Wars
4500-1,Rebel Snowspeeder [Redesign] - Blue box,2003,217,Star Wars
4207901-1,Star Wars MINI Bonus Pack,2003,0,Star Wars
4482-1,AT-TE,2003,651,Star Wars
4476-1,Jabba's Prize,2003,40,Star Wars
4479-1,TIE Bomber,2003,229,Star Wars
4480-1,Jabba's Palace,2003,234,Star Wars
4481-1,Hailfire Droid,2003,680,Star Wars
4475-1,Jabba's Message,2003,46,Star Wars
4483-1,"AT-AT, black box",2003,1070,Star Wars
4477-1,T-16 Skyhopper,2003,98,Star Wars
4484-1,X-wing Fighter & TIE Advanced - Mini,2003,72,Star Wars
4486-1,AT-ST & Snowspeeder - Mini,2003,76,Star Wars
4487-1,Jedi Starfighter & Slave I - Mini,2003,53,Star Wars
4488-1,Millennium Falcon - Mini,2003,87,Star Wars
4489-1,AT-AT - Mini,2003,98,Star Wars
4490-1,Republic Gunship - Mini,2003,102,Star Wars
4491-1,Trade Federation MTT - Mini,2003,99,Star Wars
4485-1,Sebulba's Podracer & Anakin's Podracer - Mini,2003,72,Star Wars
4478-1,"Geonosian Fighter, Black Box",2003,171,Star Wars
