set_num,name,year,num_parts,theme
TRUWOOKIE-1,Wookie Gunship,2015,41,Star Wars
TRUXWING2-1,Star Wars X-wing Fighter,2015,27,Star Wars
CELEB2015-1,Tatooine Mini-Build (Star Wars Celebration Version),2015,178,Star Wars
SWCOMIC1-1,X-Wing,2015,23,Star Wars
SDCC2015-2,Dagobah Mini-Build,2015,177,Star Wars
FANEXPO2015-1,Tatooine Mini-Build (FAN EXPO Version),2015,179,Star Wars
30275-1,TIE Advanced Prototype,2015,47,Star Wars
30274-1,AT-DP,2015,65,Star Wars
30276-1,First Order Special Forces TIE Fighter,2015,41,Star Wars
30272-1,A-Wing Starfighter,2015,58,Star Wars
75111-1,Darth Vader,2015,160,Star Wars
75081-1,T-16 Skyhopper,2015,247,Star Wars
75084-1,Wookiee Gunship,2015,570,Star Wars
75083-1,AT-DP,2015,500,Star Wars
75082-1,TIE Advanced Prototype,2015,355,Star Wars
30278-1,Poe's X-wing Fighter,2015,64,Star Wars
75080-1,AAT,2015,251,Star Wars
75079-1,Shadow Troopers,2015,95,Star Wars
75078-1,Imperial Troop Transport,2015,141,Star Wars
75077-1,Homing Spider Droid,2015,102,Star Wars
75076-1,Republic Gunship,2015,105,Star Wars
75075-1,AT-AT,2015,88,Star Wars
75074-1,Snowspeeder,2015,97,Star Wars
75073-1,Vulture Droid,2015,77,Star Wars
75072-1,ARC-170 Starfighter,2015,95,Star Wars
5002938-1,Stormtrooper Sergeant,2015,6,Star Wars
5002939-1,The Phantom,2015,23,Star Wars
5002947-1,Admiral Yularen,2015,4,Star Wars
5002948-1,C-3PO,2015,3,Star Wars
75097-1,Star Wars Advent Calendar 2015,2015,291,Star Wars
66536-1,Battle Pack 2 in 1,2015,0,Star Wars
911506-1,Snowspeeder,2015,19,Star Wars
66535-1,Battle Pack 2 in 1,2015,0,Star Wars
911508-1,Slave One,2015,20,Star Wars
911509-1,Imperial Shooter,2015,20,Star Wars
66533-1,Star Wars Super Pack 3 in 1,2015,0,Star Wars
75086-1,Battle Droid Troop Carrier,2015,565,Star Wars
75085-1,Hailfire Droid,2015,163,Star Wars
75088-1,Senate Commando Troopers,2015,106,Star Wars
911511-1,Jedi Weapon Stand,2015,16,Star Wars
911510-1,Star Destroyer & TIE Fighter,2015,21,Star Wars
75112-1,General Grievous,2015,186,Star Wars
75110-1,Luke Skywalker,2015,83,Star Wars
75109-1,Obi-Wan Kenobi,2015,83,Star Wars
75108-1,Clone Commander Cody,2015,82,Star Wars
75107-1,Jango Fett,2015,85,Star Wars
75106-1,Imperial Assault Carrier,2015,1216,Star Wars
75105-1,Millennium Falcon,2015,1330,Star Wars
75104-1,Kylo Ren's Command Shuttle,2015,1005,Star Wars
75087-1,Anakin's Custom Jedi Starfighter,2015,369,Star Wars
75103-1,First Order Transporter,2015,792,Star Wars
75101-1,First Order Special Forces TIE Fighter,2015,530,Star Wars
75100-1,First Order Snowspeeder,2015,444,Star Wars
75099-1,Rey's Speeder,2015,194,Star Wars
75096-1,Sith Infiltrator,2015,661,Star Wars
75094-1,Imperial Shuttle Tydirium,2015,937,Star Wars
75093-1,Death Star Final Duel,2015,723,Star Wars
75092-1,Naboo Starfighter,2015,442,Star Wars
75091-1,Flash Speeder,2015,312,Star Wars
75090-2,Ezra's Speeder Bike [Original Version],2015,253,Star Wars
75090-1,Ezra's Speeder Bike [Redesigned Version],2015,267,Star Wars
75089-1,Geonosis Troopers,2015,105,Star Wars
75102-1,Poe's X-Wing Fighter,2015,715,Star Wars
66534-1,Star Wars Super Pack 3 in 1,2015,0,Star Wars
