set_num,name,year,num_parts,theme
911617-1,Palpatine's Shuttle,2016,37,Star Wars
911616-1,MTT,2016,45,Star Wars
911609-1,Naboo Starfighter,2016,34,Star Wars
911614-1,Yoda's Hut,2016,29,Star Wars
911613-1,TIE Bomber,2016,26,Star Wars
911612-1,Acklay,2016,49,Star Wars
911611-1,AAT,2016,37,Star Wars
911610-1,Probe Droid,2016,20,Star Wars
911615-1,AT-AT,2016,48,Star Wars
911608-1,Landspeeder,2016,37,Star Wars
75142-1,Homing Spider Droid,2016,310,Star Wars
30279-1,Kylo Ren's Command Shuttle,2016,43,Star Wars
75131-1,Resistance Trooper Battle Pack,2016,112,Star Wars
75130-1,AT-DP,2016,76,Star Wars
75129-1,Wookiee Gunship,2016,84,Star Wars
75128-1,TIE Advanced Prototype,2016,93,Star Wars
75127-1,The Ghost,2016,104,Star Wars
75126-1,First Order Snowspeeder,2016,91,Star Wars
75125-1,Resistance X-Wing Fighter,2016,87,Star Wars
75121-1,Imperial Death Trooper,2016,105,Star Wars
75120-1,K-2SO,2016,169,Star Wars
75119-1,Sergeant Jyn Erso,2016,104,Star Wars
TRUFALCON-1,Millennium Falcon,2016,44,Star Wars
75118-1,Captain Phasma,2016,82,Star Wars
75116-1,Finn,2016,98,Star Wars
75115-1,Poe Dameron,2016,102,Star Wars
75114-1,First Order Stormtrooper,2016,81,Star Wars
75113-1,Rey,2016,84,Star Wars
5004406-1,First Order General,2016,4,Star Wars
5004408-1,Rebel A-wing Pilot,2016,5,Star Wars
6176782-1,Escape the Space Slug,2016,161,Star Wars
75146-1,Star Wars Advent Calendar 2016,2016,282,Star Wars
66542-1,Star Wars Microfighters Super Pack 3 in 1,2016,0,Star Wars
66543-1,Microfighters Super Pack 3 in 1,2016,0,Star Wars
75117-1,Kylo Ren,2016,86,Star Wars
75133-1,Rebel Alliance Battle Pack,2016,101,Star Wars
75132-1,First Order Battle Pack,2016,88,Star Wars
75135-1,Obi-Wan's Jedi Interceptor,2016,215,Star Wars
911607-1,Millennium Falcon,2016,42,Star Wars
30277-1,First Order Star Destroyer,2016,56,Star Wars
75158-1,Rebel Combat Frigate,2016,935,Star Wars
75157-1,Captain Rex’s AT-TE,2016,972,Star Wars
75156-1,Krennic’s Imperial Shuttle,2016,862,Star Wars
75155-1,Rebel U-Wing Fighter,2016,659,Star Wars
75154-1,TIE Striker,2016,543,Star Wars
75153-1,AT-ST Walker,2016,449,Star Wars
75152-1,Imperial Assault Hovertank,2016,385,Star Wars
75134-1,Galactic Empire Battle Pack,2016,109,Star Wars
75150-1,Vader’s TIE Advanced vs. A-Wing Starfighter,2016,702,Star Wars
75151-1,Clone Turbo Tank,2016,903,Star Wars
75148-1,Encounter on Jakku,2016,530,Star Wars
75147-1,StarScavenger,2016,558,Star Wars
75145-1,Eclipse Fighter,2016,363,Star Wars
30602-1,First Order Stormtrooper,2016,7,Star Wars
75141-1,Kanan's Speeder Bike,2016,234,Star Wars
75140-1,Resistance Troop Transporter,2016,646,Star Wars
75139-1,Battle on Takodana,2016,409,Star Wars
75138-1,Hoth Attack,2016,233,Star Wars
75137-1,Carbon-Freezing Chamber,2016,231,Star Wars
75136-1,Droid Escape Pod,2016,197,Star Wars
75149-1,Resistance X-Wing Fighter,2016,742,Star Wars
30605-1,Finn (FN-2187),2016,6,Star Wars
