set_num,name,year,num_parts,theme
912056-1,TIE Striker,2020,28,Star Wars
912055-1,Snowspeeder,2020,28,Star Wars
75279-1,Star Wars Advent Calendar 2020,2020,312,Star Wars
30386-1,Poe Dameron's X-wing Fighter,2020,72,Star Wars
5006290-1,Yoda's Lightsaber,2020,140,Star Wars
75292-1,The Mandalorian Bounty Hunter Transport,2020,1023,Star Wars
75293-1,Resistance I-TS Transport,2020,931,Star Wars
912057-1,R2-D2 & MSE-6,2020,13,Star Wars
75318-1,The Child,2020,1073,Star Wars
40407-1,Death Star II Battle,2020,235,Star Wars
75294-1,Bespin Duel,2020,295,Star Wars
912058-1,Darth Maul's Sith Infiltrator,2020,34,Star Wars
912060-1,A-Wing,2020,44,Star Wars
77904-1,Nebulon-B Frigate,2020,458,Star Wars
75263-1,Resistance Y-wing Microfighter,2020,86,Star Wars
75264-1,Kylo Ren's Shuttle Microfighter,2020,72,Star Wars
75265-1,T-16 Skyhopper vs. Bantha Microfighters,2020,198,Star Wars
75266-1,Sith Troopers Battle Pack,2020,105,Star Wars
75267-1,Mandalorian Battle Pack,2020,109,Star Wars
75268-1,Snowspeeder,2020,91,Star Wars
75269-1,Duel on Mustafar,2020,208,Star Wars
75270-1,Obi-Wan's Hut,2020,200,Star Wars
75271-1,Luke Skywalker's Landspeeder,2020,236,Star Wars
75272-1,Sith TIE Fighter,2020,470,Star Wars
75273-1,Poe Dameron's X-wing Fighter,2020,761,Star Wars
912059-1,Elite Praetorian Guard,2020,7,Star Wars
75276-1,Stormtrooper,2020,647,Star Wars
75277-1,Boba Fett,2020,625,Star Wars
75274-1,TIE Fighter Pilot,2020,724,Star Wars
75280-1,501st Legion Clone Troopers,2020,284,Star Wars
912061-1,AT-AT,2020,51,Star Wars
912062-1,Stormtrooper,2020,5,Star Wars
912063-1,Resistance X-Wing,2020,42,Star Wars
912064-1,Sith Eternal TIE Dagger,2020,37,Star Wars
912065-1,Luke Skywalker,2020,7,Star Wars
912066-1,Jedi Interceptor,2020,0,Star Wars
75278-1,D-O,2020,519,Star Wars
75290-1,Mos Eisley Cantina,2020,3186,Star Wars
75291-1,Death Star Final Duel,2020,774,Star Wars
75286-1,General Grievous’s Starfighter,2020,487,Star Wars
75284-1,Knights of Ren Transport Ship,2020,595,Star Wars
75283-1,Armoured Assault Tank (AAT),2020,285,Star Wars
75281-1,Anakin’s Jedi Interceptor,2020,248,Star Wars
75288-1,AT-AT,2020,1267,Star Wars
