set_num,name,year,num_parts,theme
TRUSWMF-2,Millennium Falcon,2018,24,Star Wars
911841-1,Poe Dameron's X-Wing,2018,48,Star Wars
75213-1,Star Wars Advent Calendar 2018,2018,307,Star Wars
911840-1,Droideka,2018,24,Star Wars
911721-1,Imperial Combat Driver,2018,5,Star Wars
911839-1,Obi-Wan Kenobi,2018,6,Star Wars
911838-1,Probe Droid,2018,26,Star Wars
911836-1,Quadjumper,2018,42,Star Wars
911835-1,Dwarf Spider Droid,2018,23,Star Wars
911834-1,Finn,2018,5,Star Wars
911833-1,Imperial Shuttle,2018,36,Star Wars
911831-1,Kylo Ren's Shuttle,2018,21,Star Wars
911832-1,Imperial Shuttle Pilot,2018,5,Star Wars
PORG-1,Porg,2018,75,Star Wars
911837-1,AT-ST,2018,48,Star Wars
911842-1,Star Destroyer,2018,35,Star Wars
66596-1,Super Pack 2-in-1,2018,0,Star Wars
75209-1,Han Solo's Landspeeder,2018,345,Star Wars
75198-1,Tatooine Battle Pack,2018,97,Star Wars
75199-1,General Grievous' Combat Speeder,2018,157,Star Wars
75200-1,Ahch-To Island Training,2018,241,Star Wars
75230-1,Porg,2018,811,Star Wars
75202-1,Defense of Crait,2018,746,Star Wars
75203-1,Hoth Medical Chamber,2018,255,Star Wars
75204-1,Sandspeeder,2018,278,Star Wars
75205-1,Mos Eisley Cantina,2018,376,Star Wars
75206-1,Jedi and Clone Troopers Battle Pack,2018,102,Star Wars
75207-1,Imperial Patrol Battle Pack,2018,99,Star Wars
75208-1,Yoda's Hut,2018,229,Star Wars
75197-1,First Order Specialists Battle Pack,2018,108,Star Wars
75210-1,Moloch's Landspeeder,2018,461,Star Wars
75212-1,Kessel Run Millennium Falcon,2018,1414,Star Wars
75214-1,Anakin's Jedi Starfighter,2018,247,Star Wars
75215-1,Cloud-Rider Swoop Bikes,2018,355,Star Wars
75216-1,Snoke's Throne Room,2018,491,Star Wars
75217-1,Imperial Conveyex Transport,2018,622,Star Wars
75218-1,X-Wing Starfighter,2018,730,Star Wars
75219-1,Imperial AT-Hauler,2018,829,Star Wars
75220-1,Sandcrawler,2018,1239,Star Wars
75221-1,Imperial Landing Craft,2018,635,Star Wars
75222-1,Betrayal at Cloud City,2018,2810,Star Wars
66597-1,Super Pack 2-in-1,2018,0,Star Wars
75211-1,Imperial TIE Fighter,2018,519,Star Wars
75196-1,A-Wing vs. TIE Silencer Microfighters,2018,188,Star Wars
75201-1,First Order AT-ST,2018,370,Star Wars
75194-1,First Order TIE Fighter Microfighter,2018,91,Star Wars
6252812-1,Luke Skywalker,2018,20,Star Wars
6252811-1,Obi-Wan Kenobi,2018,18,Star Wars
75251-1,Darth Vader's Castle,2018,1060,Star Wars
6252810-1,Han Solo,2018,23,Star Wars
6252808-1,Chewbacca,2018,22,Star Wars
30498-1,Imperial AT-Hauler,2018,49,Star Wars
6252770-1,Leia Organa,2018,18,Star Wars
75195-1,Ski Speeder vs First Order Walker Microfighters,2018,216,Star Wars
40288-1,BB-8,2018,48,Star Wars
40298-1,DJ,2018,22,Star Wars
40299-1,Kessel Mine Worker,2018,22,Star Wars
30381-1,Imperial TIE Fighter,2018,42,Star Wars
40300-1,Han Solo Mudtrooper,2018,22,Star Wars
5005376-1,Darth Vader,2018,37,Star Wars
75537-1,Darth Maul,2018,104,Star Wars
75536-1,Range Trooper,2018,101,Star Wars
75535-1,Han Solo,2018,100,Star Wars
30380-1,Kylo Ren's Shuttle,2018,33,Star Wars
75534-1,Darth Vader,2018,168,Star Wars
75533-1,Boba Fett,2018,144,Star Wars
75188-2,Resistance Bomber (Finch Dallow version),2018,758,Star Wars
75512-1,Millennium Falcon Cockpit,2018,203,Star Wars
75193-1,Millennium Falcon Microfighter,2018,92,Star Wars
