set_num,name,year,num_parts,theme
K7283-1,V-wing Space Battle Collection,2005,0,Star Wars
tf05-1,Lego Toy Fair 2005 Star Wars V.I.P. Gala Set,2005,60,Star Wars
7283-1,Ultimate Space Battle,2005,565,Star Wars
7261-1,Clone Turbo Tank [Light-Up Mace Windu],2005,809,Star Wars
7264-1,Imperial Inspection,2005,379,Star Wars
7263-1,TIE Fighter,2005,161,Star Wars
65771-1,Episode III Collectors' Set,2005,2,Star Wars
65844-1,Star Wars Co-Pack of 7255 4492 and 4494,2005,0,Star Wars
sw117promo-1,Darth Vader: 56. International Toy Fair Nuernberg,2005,3,Star Wars
SWMP-1,Star Wars / M&M Mosaic - Promo Set,2005,5462,Star Wars
7259-1,ARC-170 Starfighter,2005,400,Star Wars
6965-2,TIE Interceptor,2005,32,Star Wars
6966-1,Jedi Starfighter - Mini,2005,38,Star Wars
6966-2,Jedi Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,38,Star Wars
6967-1,ARC-170 Starfighter - Mini,2005,42,Star Wars
6967-2,ARC-170 Starfighter - Mini - Korean Duracell promo package with 8 AA batteries,2005,42,Star Wars
6968-1,Mini Wookiee Attack,2005,48,Star Wars
7250-1,Clone Scout Walker,2005,109,Star Wars
7251-1,Darth Vader Transformation,2005,60,Star Wars
7252-1,Droid Tri-Fighter,2005,148,Star Wars
7255-1,General Grievous Chase,2005,112,Star Wars
7256-1,Jedi Starfighter & Vulture Droid,2005,203,Star Wars
7257-1,Ultimate Lightsaber Duel,2005,280,Star Wars
7258-1,Wookiee Attack,2005,366,Star Wars
65845-1,Star Wars Co-Pack of 7256 4492 and 4494,2005,0,Star Wars
7260-1,Wookiee Catamaran,2005,380,Star Wars
