set_num,name,year,num_parts,theme
9495-1,Gold Leader's Y-wing Starfighter,2012,457,Star Wars
9500-1,Sith Fury-class Interceptor,2012,748,Star Wars
9496-1,Desert Skiff,2012,220,Star Wars
30057-1,Anakin's Pod Racer,2012,38,Star Wars
30056-1,Star Destroyer,2012,38,Star Wars
9494-1,Anakin's Jedi Interceptor,2012,299,Star Wars
30058-1,STAP,2012,19,Star Wars
5001137-1,Battle Pack Collection,2012,0,Star Wars
9516-1,Jabba’s Palace,2012,717,Star Wars
5000062-1,Darth Maul,2012,7,Star Wars
9492-1,TIE Fighter,2012,413,Star Wars
9491-1,Geonosian Cannon,2012,133,Star Wars
9490-1,Droid Escape,2012,137,Star Wars
5000063-1,TC-14,2012,3,Star Wars
9489-1,Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,77,Star Wars
5001136-1,Buildable Galaxy Collection,2012,0,Star Wars
9488-1,Elite Clone Trooper & Commando Droid Battle Pack,2012,105,Star Wars
9499-1,Gungan Sub,2012,466,Star Wars
9498-1,Saesee Tiin's Jedi Starfighter,2012,244,Star Wars
9497-1,Republic Striker Starfighter,2012,376,Star Wars
9493-1,X-wing Starfighter,2012,560,Star Wars
30059-1,MTT,2012,51,Star Wars
9515-1,The Malevolence,2012,1100,Star Wars
celebvi-1,Boba Fett’s Slave I - Mini - Star Wars Celebration VI Exclusive,2012,81,Star Wars
5001307-1,Buildable Galaxy Collection II,2012,0,Star Wars
9509-1,Star Wars Advent Calendar 2012,2012,235,Star Wars
66411-1,Super Pack 3 in 1,2012,0,Star Wars
66431-1,"Star Wars Super Pack 3 in 1 (7914, 9488, 9491)",2012,0,Star Wars
66432-1,Super Pack 3 in 1,2012,0,Star Wars
5001308-1,The Old Republic Collection,2012,0,Star Wars
comcon019-1,Darth Maul’s Sith Infiltrator - Mini - San Diego Comic-Con 2012 Exclusive,2012,91,Star Wars
COMCON024-1,Luke Skywalker's Landspeeder - Mini,2012,110,Star Wars
9679-1,AT-ST & Endor,2012,65,Star Wars
9678-1,Twin-pod Cloud Car & Bespin,2012,78,Star Wars
5001309-1,Return of the Jedi Collection,2012,0,Star Wars
9676-1,TIE Interceptor & Death Star,2012,65,Star Wars
9525-1,Pre Vizsla's Mandalorian Fighter,2012,403,Star Wars
9675-1,Sebulba's Podracer & Tatooine,2012,80,Star Wars
9526-1,Palpatine’s Arrest,2012,649,Star Wars
9674-1,Naboo Starfighter & Naboo,2012,56,Star Wars
9677-1,X-wing Starfighter & Yavin 4,2012,77,Star Wars
