set_num,name,year,num_parts,theme
30005-1,Imperial Speeder Bike,2009,33,Star Wars
7778-1,Midi-Scale Millennium Falcon,2009,355,Star Wars
comcon010-1,Mini Republic Dropship Mini AT-TE Brickmaster Pack - San Diego Comic-Con 2009 Exclusive,2009,202,Star Wars
comcon009-1,Collectible Display Set 6 - San Diego Comic-Con 2009 Exclusive,2009,17,Star Wars
comcon011-1,LEGO Star Wars Holo-Brick Archives San Diego Comic-Con 2009 Exclusive,2009,3,Star Wars
comcon008-1,Collectible Display Set 3 - San Diego Comic-Con 2009 Exclusive,2009,16,Star Wars
comcon007-1,Collectible Display Set 5 - San Diego Comic-Con 2009 Exclusive,2009,17,Star Wars
7754-1,Home One Mon Calamari Star Cruiser - Limited Edition,2009,788,Star Wars
comcon006-1,Collectible Display Set 4 - San Diego Comic-Con 2009 Exclusive,2009,30,Star Wars
8037-1,Anakin's Y-wing Starfighter,2009,570,Star Wars
20009-1,AT-TE Walker - Mini,2009,94,Star Wars
8038-1,The Battle of Endor,2009,890,Star Wars
20007-1,Republic Attack Cruiser - Mini,2009,84,Star Wars
8039-1,Venator-Class Republic Attack Cruiser,2009,1170,Star Wars
comcon004-1,Collectible Display Set 1 - San Diego Comic-Con 2009 Exclusive,2009,16,Star Wars
66308-1,Star Wars Super Pack 3 in 1 (7667 7668 8017),2009,0,Star Wars
8036-1,Separatist Shuttle,2009,258,Star Wars
8033-1,General Grievous Starfighter - Mini,2009,44,Star Wars
7749-1,Echo Base,2009,155,Star Wars
30004-1,Battle Droid on STAP,2009,28,Star Wars
TOYFAIR-1,"Toy Fair 2009, Chrome Black Darth Vader",2009,7,Star Wars
8014-1,Clone Walker Battle Pack,2009,80,Star Wars
2853590-1,Stormtrooper,2009,5,Star Wars
8015-1,Assassin Droids Battle Pack,2009,94,Star Wars
7748-1,Corporate Alliance Tank Droid,2009,216,Star Wars
4547551-1,Darth Vader 10 Year Anniversary Promotional Minifigure,2009,7,Star Wars
7753-1,Pirate Tank,2009,371,Star Wars
comcon005-1,Collectible Display Set 2 - San Diego Comic-Con 2009 Exclusive,2009,13,Star Wars
8017-1,Darth Vader's TIE Fighter,2009,257,Star Wars
8018-1,Armored Assault Tank (AAT),2009,406,Star Wars
20010-1,Republic Gunship,2009,94,Star Wars
8019-1,Republic Attack Shuttle,2009,636,Star Wars
7751-1,Ahsoka's Starfighter and Vulture Droid,2009,291,Star Wars
30006-1,Clone Walker,2009,31,Star Wars
7752-1,Count Dooku's Solar Sailer,2009,384,Star Wars
8016-1,Hyena Droid Bomber,2009,235,Star Wars
