set_num,name,year,num_parts,theme
7667-1,Imperial Dropship,2008,81,Star Wars
7678-1,Droid Gunship,2008,329,Star Wars
7669-2,Anakin's Jedi Starfighter Clone Wars White Box,2008,152,Star Wars
7669-1,Anakin's Jedi Starfighter,2008,153,Star Wars
7680-1,The Twilight - Limited Edition,2008,887,Star Wars
7681-1,Separatist Spider Droid,2008,214,Star Wars
8028-1,TIE Fighter - Mini,2008,44,Star Wars
8029-1,Mini Snowspeeder,2008,66,Star Wars
8031-1,V-19 Torrent - Mini,2008,66,Star Wars
comcon001-1,Clone Wars Pack - San Diego Comic-Con 2008 Exclusive,2008,33,Star Wars
7668-1,Rebel Scout Speeder,2008,81,Star Wars
7675-1,AT-TE Walker,2008,810,Star Wars
7673-1,Magna Guard Starfighter,2008,431,Star Wars
7672-1,Rogue Shadow,2008,481,Star Wars
7671-1,AT-AP Walker,2008,392,Star Wars
7670-2,Hailfire Droid & Spider Droid Clone Wars White Box,2008,249,Star Wars
7670-1,Hailfire Droid & Spider Droid,2008,249,Star Wars
7676-1,Republic Attack Gunship,2008,1044,Star Wars
7674-1,V-19 Torrent,2008,471,Star Wars
7679-1,Republic Fighter Tank,2008,595,Star Wars
20006-1,Clone Turbo Tank - Mini,2008,64,Star Wars
